player_name,Type,description,game_type,inning,inning_topbot,home_team,away_team,balls,strikes,stand,p_throws,plate_x,plate_z,sz_top,sz_bot,Ump_HP,Ump_Nation,Ump_Continent,actual,called,error,error_type,batter_team,pitcher_team,batter_continent,pitcher_continent,round,dist_x,dist_z,pmax_dist,border_dist,border_dist_inch,plate_x_abs,plate_z_norm,count_label,stand_L,p_throws_L,round_T,bat_Asia,bat_Europe,bat_LatAm,bat_Oceania,pit_Asia,pit_Europe,pit_LatAm,pit_Oceania
"Chourio, Jackson",ball-ball,ball,W,5,Top,USA,VEN,0,2,R,R,2.082487982,2.565819845,3.24,1.63,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,1.374187982,-0.674180155,1.374187982,1.374187982,16.49025578,2.082487982,0.581254562,0-2,0,0,1,0,0,1,0,0,0,0,0
"Perez, Salvador",ball-ball,ball,W,5,Top,USA,VEN,2,1,R,R,-0.034049042,1.469876347,3.312,1.672,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,-0.674250958,0.202123653,0.202123653,0.202123653,2.425483836,0.034049042,-0.12324613,2岿 1老,0,0,1,0,0,1,0,0,0,0,0
"Perez, Salvador",ball-ball,ball,W,5,Top,USA,VEN,1,1,R,R,-1.089771758,3.727901113,3.312,1.672,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.381471758,0.415901113,0.415901113,0.415901113,4.990813356,1.089771758,1.25359824,1岿 1老,0,0,1,0,0,1,0,0,0,0,0
"Anthony, Roman",ball-ball,ball,W,5,Bot,USA,VEN,2,2,L,L,-1.19161321,1.224699678,3.326,1.679,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.48331321,0.454300322,0.48331321,0.48331321,5.79975852,1.19161321,-0.275835047,2岿 2老,1,1,1,0,0,0,0,0,0,1,0
"Perez, Salvador",ball-ball,ball,W,5,Top,USA,VEN,0,0,R,R,-0.987393288,3.49642168,3.312,1.672,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.279093288,0.18442168,0.279093288,0.279093288,3.349119456,0.987393288,1.112452244,0-0,0,0,1,0,0,1,0,0,0,0,0
"Anthony, Roman",ball-ball,ball,W,5,Bot,USA,VEN,1,1,L,L,-1.156696609,1.979907144,3.326,1.679,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.448396609,-0.300907144,0.448396609,0.448396609,5.380759308,1.156696609,0.182700148,1岿 1老,1,1,1,0,0,0,0,0,0,1,0
"Anthony, Roman",ball-ball,ball,W,5,Bot,USA,VEN,0,1,L,L,-0.566170529,3.495371385,3.326,1.679,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,-0.142129471,0.169371385,0.169371385,0.169371385,2.03245662,0.566170529,1.102836299,0-1,1,1,1,0,0,0,0,0,0,1,0
"Tovar, Ezequiel",ball-ball,ball,W,4,Top,USA,VEN,0,0,R,R,-1.172584603,3.121956685,3.219,1.625,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.464284603,-0.097043315,0.464284603,0.464284603,5.571415236,1.172584603,0.939119627,0-0,0,0,1,0,0,1,0,0,0,0,0
"Bregman, Alex",ball-ball,ball,W,4,Bot,USA,VEN,1,1,R,L,-1.180082075,3.347306007,3.126,1.578,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.471782075,0.221306007,0.471782075,0.471782075,5.6613849,1.180082075,1.142962537,1岿 1老,0,1,1,0,0,0,0,0,0,1,0
"Torres, Gleyber",ball-ball,ball,W,4,Top,USA,VEN,0,2,R,R,1.946273553,1.206678959,3.13,1.579,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,1.237973553,0.372321041,1.237973553,1.237973553,14.85568264,1.946273553,-0.240052251,0-2,0,0,1,0,0,1,0,0,0,0,0
"Bregman, Alex",ball-ball,ball,W,4,Bot,USA,VEN,0,1,R,L,-0.031301353,3.263493418,3.126,1.578,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,-0.676998647,0.137493418,0.137493418,0.137493418,1.649921016,0.031301353,1.088820037,0-1,0,1,1,0,0,0,0,0,0,1,0
"Schwarber, Kyle",ball-ball,ball,W,4,Bot,USA,VEN,3,0,L,L,-1.869105808,1.896088218,3.181,1.605,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,1.160805808,-0.291088218,1.160805808,1.160805808,13.9296697,1.869105808,0.184700646,Mar-00,1,1,1,0,0,0,0,0,0,1,0
"Schwarber, Kyle",ball-ball,ball,W,4,Bot,USA,VEN,2,0,L,L,-1.175340846,1.389719663,3.181,1.605,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.467040846,0.215280337,0.467040846,0.467040846,5.604490152,1.175340846,-0.136599199,Feb-00,1,1,1,0,0,0,0,0,0,1,0
"Schwarber, Kyle",ball-ball,ball,W,4,Bot,USA,VEN,1,0,L,L,-1.21439314,1.177089811,3.181,1.605,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.50609314,0.427910189,0.50609314,0.50609314,6.07311768,1.21439314,-0.271516617,Jan-00,1,1,1,0,0,0,0,0,0,1,0
"Schwarber, Kyle",ball-ball,ball,W,4,Bot,USA,VEN,0,0,L,L,-1.01601925,1.592545404,3.181,1.605,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.30771925,0.012454596,0.30771925,0.30771925,3.692631,1.01601925,-0.007902662,0-0,1,1,1,0,0,0,0,0,0,1,0
"Su?rez, Eugenio",ball-ball,ball,W,4,Top,USA,VEN,2,2,R,R,2.073315734,-0.047644929,3.171,1.6,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,1.365015734,1.647644929,1.647644929,1.647644929,19.77173915,2.073315734,-1.048787351,2岿 2老,0,0,1,0,0,1,0,0,0,0,0
"Su?rez, Eugenio",ball-ball,ball,W,4,Top,USA,VEN,1,2,R,R,0.866112111,1.789454929,3.171,1.6,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.157812111,-0.189454929,0.157812111,0.157812111,1.893745332,0.866112111,0.120595117,1岿 2老,0,0,1,0,0,1,0,0,0,0,0
"Su?rez, Eugenio",ball-ball,ball,W,4,Top,USA,VEN,0,1,R,R,2.233717514,1.25339723,3.171,1.6,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,1.525417514,0.34660277,1.525417514,1.525417514,18.30501017,2.233717514,-0.22062557,0-1,0,0,1,0,0,1,0,0,0,0,0
"Judge, Aaron",ball-ball,ball,W,4,Bot,USA,VEN,0,0,R,L,0.445241693,1.245095138,3.523,1.778,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,-0.263058307,0.532904862,0.532904862,0.532904862,6.394858344,0.445241693,-0.305389606,0-0,0,1,1,0,0,0,0,0,0,1,0
"Harper, Bryce",ball-ball,ball,W,4,Bot,USA,VEN,0,1,L,L,0.983816843,1.412187021,3.265,1.648,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.275516843,0.235812979,0.275516843,0.275516843,3.306202116,0.983816843,-0.14583363,0-1,1,1,1,0,0,0,0,0,0,1,0
"Garcia, Maikel",ball-ball,ball,W,3,Top,USA,VEN,1,2,R,R,2.995004529,0.694958695,3.262,1.646,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,2.286704529,0.951041305,2.286704529,2.286704529,27.44045435,2.995004529,-0.588515659,1岿 2老,0,0,1,0,0,1,0,0,0,0,0
"Buxton, Byron",ball-ball,ball,W,3,Bot,USA,VEN,1,1,R,L,-1.14344239,3.353345358,3.258,1.644,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.43514239,0.095345358,0.43514239,0.43514239,5.22170868,1.14344239,1.059073952,1岿 1老,0,1,1,0,0,0,0,0,0,1,0
"Garcia, Maikel",ball-ball,ball,W,3,Top,USA,VEN,0,1,R,R,1.442444885,2.666639323,3.262,1.646,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.734144885,-0.595360677,0.734144885,0.734144885,8.80973862,1.442444885,0.631583739,0-1,0,0,1,0,0,1,0,0,0,0,0
"Buxton, Byron",ball-ball,ball,W,3,Bot,USA,VEN,0,1,R,L,-0.804534943,3.812292192,3.258,1.644,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.096234943,0.554292192,0.554292192,0.554292192,6.651506304,0.804534943,1.343427628,0-1,0,1,1,0,0,0,0,0,0,1,0
"Acu?a Jr., Ronald",ball-ball,ball,W,3,Top,USA,VEN,3,2,R,R,-0.11145284,3.509958934,3.201,1.615,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,-0.59684716,0.308958934,0.308958934,0.308958934,3.707507208,0.11145284,1.194803868,3岿 2老,0,0,1,0,0,1,0,0,0,0,0
"Acu?a Jr., Ronald",ball-ball,ball,W,3,Top,USA,VEN,2,2,R,R,-0.381631853,3.818351241,3.201,1.615,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,-0.326668147,0.617351241,0.617351241,0.617351241,7.408214892,0.381631853,1.389250467,2岿 2老,0,0,1,0,0,1,0,0,0,0,0
"Turang, Brice",ball-ball,ball,W,3,Bot,USA,VEN,0,0,L,L,0.000245425,1.349104408,3.21,1.62,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,-0.708054575,0.270895592,0.270895592,0.270895592,3.250747104,2.45E-04,-0.170374586,0-0,1,1,1,0,0,0,0,0,0,1,0
"Acu?a Jr., Ronald",ball-ball,ball,W,3,Top,USA,VEN,1,2,R,R,0.412660024,0.673405183,3.201,1.615,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,-0.295639976,0.941594817,0.941594817,0.941594817,11.2991378,0.412660024,-0.593691562,1岿 2老,0,0,1,0,0,1,0,0,0,0,0
"Smith, Will",ball-ball,ball,W,3,Bot,USA,VEN,1,0,R,L,1.447183034,2.278058595,3.138,1.583,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.738883034,-0.695058595,0.738883034,0.738883034,8.866596408,1.447183034,0.446983019,Jan-00,0,1,1,0,0,0,0,0,0,1,0
"Smith, Will",ball-ball,ball,W,3,Bot,USA,VEN,0,0,R,L,-0.11681971,3.729335737,3.138,1.583,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,-0.59148029,0.591335737,0.591335737,0.591335737,7.096028844,0.11681971,1.380280217,0-0,0,1,1,0,0,0,0,0,0,1,0
"Acu?a Jr., Ronald",ball-ball,ball,W,3,Top,USA,VEN,0,0,R,R,-0.823723493,3.463976454,3.201,1.615,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,0.115423493,0.262976454,0.262976454,0.262976454,3.155717448,0.823723493,1.165811131,0-0,0,0,1,0,0,1,0,0,0,0,0
"Anthony, Roman",ball-ball,ball,W,2,Bot,USA,VEN,2,1,L,L,-1.038530256,1.563160576,3.326,1.679,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,0.330230256,0.115839424,0.330230256,0.330230256,3.962763072,1.038530256,-0.070333591,2岿 1老,1,1,1,0,0,0,0,0,0,1,0
"Anthony, Roman",ball-ball,ball,W,2,Bot,USA,VEN,1,1,L,L,-1.834300259,1.380472377,3.326,1.679,Dan Bellino,USA,North America,ball,ball,0,ball-ball,USA,VEN,North America,Latin America,Tournament,1.126000259,0.298527623,1.126000259,1.126000259,13.51200311,1.834300259,-0.181255387,1岿 1老,1,1,1,0,0,0,0,0,0,1,0
"Gim?nez, Andr?s",ball-ball,ball,W,9,Top,USA,VEN,0,2,L,R,0.058459645,4.027596074,3.165,1.597,Dan Bellino,USA,North America,ball,ball,0,ball-ball,VEN,USA,Latin America,North America,Tournament,-0.649840355,0.862596074,0.862596074,0.862596074,10.35115289,0.058459645,1.550125047,0-2,1,0,1,0,0,1,0,0,0,0,0
