Type,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,inning_topbot,Ump_HP,Ump_Nation,Ump_Continent,Ump_Birth,Ump_year,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,delta_pitcher_run_exp,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
ball-ball,SI,3/17/2026,94.9,-3.55,5.32,"Chourio, Jackson",694192,690997,ball,12,Ball,W,R,R,USA,VEN,B,0,2,-1.57,0.66,2.082487982,2.565819845,1,5,Top,Dan Bellino,USA,North America,1978,15,18.06139174,-136.7794058,-2.631172658,-24.22794937,36.91573813,-23.4805965,3.24,1.63,93.7,2353,6.6,788094,53.88,32,3,0,2,2,0,2,0,2,0,236,-0.002,0.033,-0.033,-2,2,0.272,0.728,24,22,25,22,1.97,1.57,1.57
ball-ball,ST,3/17/2026,85.8,-4.02,4.96,"Perez, Salvador",521692,690997,ball,13,Ball,W,R,R,USA,VEN,B,2,1,1.72,0.02,-0.034049042,1.469876347,0,5,Top,Dan Bellino,USA,North America,1978,15,5.757404717,-124.6730357,-1.636627723,16.09304328,31.48114252,-31.80089728,3.312,1.672,84.8,3281,6.3,788094,54.17,31,4,0,2,2,0,2,0,2,0,62,-0.008,0.159,-0.159,-2,2,0.246,0.754,24,36,25,36,3.15,-1.72,-1.72
ball-ball,SI,3/17/2026,96.5,-3.93,5.2,"Perez, Salvador",521692,690997,ball,11,Ball,W,R,R,USA,VEN,B,1,1,-1.7,0.4,-1.089771758,3.727901113,0,5,Top,Dan Bellino,USA,North America,1978,15,11.34865149,-139.8194943,1.037811608,-25.0604209,37.96383905,-27.60452241,3.312,1.672,95.2,2391,6.3,788094,54.23,31,3,0,2,2,0,2,0,2,0,231,-0.004,0.079,-0.079,-2,2,0.25,0.75,24,36,25,36,2.11,1.7,1.7
ball-ball,FC,3/17/2026,90.5,0.99,5.8,"Anthony, Roman",701350,593958,ball,13,Ball,W,L,L,USA,VEN,B,2,2,-0.32,1.08,-1.19161321,1.224699678,0,5,Bot,Dan Bellino,USA,North America,1978,15,-4.663734368,-131.58148,-7.484684683,-2.637622391,30.80006663,-18.19834125,3.326,1.679,90,2313,6.3,788094,54.24,34,5,0,2,0,2,2,0,0,2,159,0.011,0.145,-0.145,-2,-2,0.286,0.286,33,22,33,22,1.73,-0.32,-0.32
ball-ball,ST,3/17/2026,84.7,-4.03,5.08,"Perez, Salvador",521692,690997,ball,11,Ball,W,R,R,USA,VEN,B,0,0,1.52,0,-0.987393288,3.49642168,0,5,Top,Dan Bellino,USA,North America,1978,15,3.91257596,-123.1296824,2.966939935,14.16283889,30.53231219,-33.15625472,3.312,1.672,83.5,3061,6.1,788094,54.38,31,1,0,2,2,0,2,0,2,0,64,-0.003,0.058,-0.058,-2,2,0.249,0.751,24,36,25,36,3.25,-1.52,-1.52
ball-ball,FF,3/17/2026,92.5,1.07,5.84,"Anthony, Roman",701350,593958,ball,13,Ball,W,L,L,USA,VEN,B,1,1,0.48,1.62,-1.156696609,1.979907144,0,5,Bot,Dan Bellino,USA,North America,1978,15,-6.645367558,-134.365971,-7.284987109,7.410703535,32.25816403,-11.19122185,3.326,1.679,91.6,2317,6.1,788094,54.41,34,3,0,2,0,2,2,0,0,2,155,0.007,0.079,-0.079,-2,-2,0.287,0.287,33,22,33,22,1.08,0.48,0.48
ball-ball,FF,3/17/2026,92.2,1.23,5.75,"Anthony, Roman",701350,593958,ball,11,Ball,W,L,L,USA,VEN,B,0,1,0.67,1.28,-0.566170529,3.495371385,0,5,Bot,Dan Bellino,USA,North America,1978,15,-5.948720835,-134.0350189,-2.483545029,9.43717393,32.31997463,-16.4530992,3.326,1.679,91.1,2328,6,788094,54.54,34,2,0,2,0,2,2,0,0,2,146,0.003,0.045,-0.045,-2,-2,0.284,0.284,33,22,33,22,1.43,0.67,0.67
ball-ball,FF,3/17/2026,98.5,-3.48,5.39,"Tovar, Ezequiel",678662,690997,ball,11,Ball,W,R,R,USA,VEN,B,0,0,-0.97,1.26,-1.172584603,3.121956685,2,4,Top,Dan Bellino,USA,North America,1978,15,8.461517779,-143.0147213,-3.393600358,-15.35460614,38.31607118,-14.43427445,3.219,1.625,97.7,2398,6.3,788094,54.17,25,1,0,1,1,0,1,0,1,0,230,-0.001,0.045,-0.045,-1,1,0.417,0.583,24,24,25,25,1.13,0.97,0.97
ball-ball,FF,3/17/2026,92.5,1.2,5.66,"Bregman, Alex",608324,593958,ball,11,Ball,W,R,L,USA,VEN,B,1,1,0.67,1.41,-1.180082075,3.347306007,2,4,Bot,Dan Bellino,USA,North America,1978,15,-7.428597709,-134.4401402,-2.992820308,9.741817524,30.30184056,-14.60487412,3.126,1.578,91.8,2318,6,788094,54.48,29,3,0,1,0,1,1,0,0,1,149,0.004,0.056,-0.056,-1,-1,0.391,0.391,33,32,33,32,1.26,0.67,-0.67
ball-ball,CU,3/17/2026,83.2,-3.6,5.25,"Torres, Gleyber",650402,690997,ball,14,Ball,W,R,R,USA,VEN,B,0,2,1.43,-1.21,1.946273553,1.206678959,1,4,Top,Dan Bellino,USA,North America,1978,15,9.620661652,-120.5641736,0.186186259,10.83564374,33.23283421,-44.01604014,3.13,1.579,81.3,3493,6.2,788094,54.28,24,3,0,1,1,0,1,0,1,0,46,-0.002,0.033,-0.033,-1,1,0.406,0.594,24,29,25,30,4.65,-1.43,-1.43
ball-ball,FC,3/17/2026,90.3,1.06,5.82,"Bregman, Alex",608324,593958,ball,11,Ball,W,R,L,USA,VEN,B,0,1,0.06,0.78,-0.031301353,3.263493418,2,4,Bot,Dan Bellino,USA,North America,1978,15,-2.810352955,-131.466981,-1.870336545,1.370840019,30.4288626,-22.95272154,3.126,1.578,89.5,2354,6,788094,54.51,29,2,0,1,0,1,1,0,0,1,163,0.003,0.036,-0.036,-1,-1,0.388,0.388,33,32,33,32,2.03,0.06,-0.06
ball-ball,FC,3/17/2026,90,0.97,5.75,"Schwarber, Kyle",656941,593958,ball,13,Kyle Schwarber walks.,W,L,L,USA,VEN,B,3,0,-0.15,0.88,-1.869105808,1.896088218,2,4,Bot,Dan Bellino,USA,North America,1978,15,-6.637330196,-130.8935009,-5.257209815,-0.320218384,27.43981472,-21.18993254,3.181,1.605,90.1,2289,6.4,788094,54.12,28,4,0,1,0,1,1,0,0,1,159,0.006,0.118,-0.118,-1,-1,0.386,0.386,33,33,33,33,1.94,-0.15,-0.15
ball-ball,FC,3/17/2026,89.9,1.05,5.72,"Schwarber, Kyle",656941,593958,ball,13,Ball,W,L,L,USA,VEN,B,2,0,-0.16,0.68,-1.175340846,1.389719663,2,4,Bot,Dan Bellino,USA,North America,1978,15,-5.075567813,-130.6588844,-5.891195195,-0.600451296,31.02763427,-23.25179034,3.181,1.605,89.2,2369,6.2,788094,54.29,28,3,0,1,0,1,1,0,0,1,168,0.005,0.115,-0.115,-1,-1,0.381,0.381,33,33,33,33,2.17,-0.16,-0.16
ball-ball,FC,3/17/2026,89.9,0.98,5.79,"Schwarber, Kyle",656941,593958,ball,13,Ball,W,L,L,USA,VEN,B,1,0,0.01,0.72,-1.21439314,1.177089811,2,4,Bot,Dan Bellino,USA,North America,1978,15,-5.372310426,-130.5807025,-6.667958043,1.319050107,30.33006806,-22.61562318,3.181,1.605,89.4,2319,6.3,788094,54.21,28,2,0,1,0,1,1,0,0,1,162,0.003,0.074,-0.074,-1,-1,0.378,0.378,33,33,33,33,2.13,0.01,0.01
ball-ball,CU,3/17/2026,81.2,1.03,5.89,"Schwarber, Kyle",656941,593958,ball,13,Ball,W,L,L,USA,VEN,B,0,0,-0.53,-0.63,-1.01601925,1.592545404,2,4,Bot,Dan Bellino,USA,North America,1978,15,-3.488128496,-118.1829219,-1.474385115,-4.216706777,24.28637729,-37.98102724,3.181,1.605,81,2401,6.3,788094,54.17,28,1,0,1,0,1,1,0,0,1,306,0.002,0.045,-0.045,-1,-1,0.376,0.376,33,33,33,33,4.11,-0.53,-0.53
ball-ball,CU,3/17/2026,83.2,-3.68,5.25,"Su?rez, Eugenio",553993,690997,ball,14,Ball,W,R,R,USA,VEN,B,2,2,1.14,-1.45,2.073315734,-0.047644929,0,4,Top,Dan Bellino,USA,North America,1978,15,10.64395142,-120.5042337,-2.1785546,7.964231352,32.33329459,-45.63565824,3.171,1.6,81.2,3418,6.1,788094,54.39,23,5,0,1,1,0,1,0,1,0,44,-0.007,0.145,-0.145,-1,1,0.379,0.621,24,34,25,35,4.89,-1.14,-1.14
ball-ball,CH,3/17/2026,88.8,-3.64,5.3,"Su?rez, Eugenio",553993,690997,ball,14,Ball,W,R,R,USA,VEN,B,1,2,-1.41,0.15,0.866112111,1.789454929,0,4,Top,Dan Bellino,USA,North America,1978,15,13.72238116,-128.4943462,-2.477397867,-18.6638172,30.13190461,-30.11155112,3.171,1.6,87.4,1200,6,788094,54.5,23,4,0,1,1,0,1,0,1,0,262,-0.004,0.062,-0.062,-1,1,0.383,0.617,24,34,25,35,2.8,1.41,1.41
ball-ball,ST,3/17/2026,87.4,-3.74,5.2,"Su?rez, Eugenio",553993,690997,ball,14,Ball,W,R,R,USA,VEN,B,0,1,1.42,-0.08,2.233717514,1.25339723,0,4,Top,Dan Bellino,USA,North America,1978,15,11.08980907,-126.629399,-2.757292059,12.29835321,31.53977639,-32.54032564,3.171,1.6,85.7,3169,5.9,788094,54.57,23,2,0,1,1,0,1,0,1,0,50,-0.002,0.045,-0.045,-1,1,0.38,0.62,24,34,25,35,3.14,-1.42,-1.42
ball-ball,CH,3/17/2026,86.7,1.1,5.82,"Judge, Aaron",592450,593958,ball,14,Ball,W,R,L,USA,VEN,B,0,0,1.2,0.51,0.445241693,1.245095138,1,4,Bot,Dan Bellino,USA,North America,1978,15,-4.021330463,-126.0539587,-5.376485239,13.59373349,30.95404748,-25.79195262,3.523,1.778,85.4,1929,6,788094,54.5,27,1,0,1,0,1,1,0,0,1,140,0.003,0.055,-0.055,-1,-1,0.398,0.398,33,34,33,34,2.58,1.2,-1.2
ball-ball,SI,3/17/2026,92.4,1.03,5.94,"Harper, Bryce",547180,593958,ball,14,Ball,W,L,L,USA,VEN,B,0,1,1.28,1.17,0.983816843,1.412187021,0,4,Bot,Dan Bellino,USA,North America,1978,15,-2.93687729,-134.2789771,-7.873249786,15.99337438,34.89123942,-16.48045575,3.265,1.648,91,2465,5.9,788094,54.56,26,2,0,1,0,1,1,0,0,1,159,0.003,0.045,-0.045,-1,-1,0.423,0.423,33,33,33,34,1.56,1.28,1.28
ball-ball,CU,3/17/2026,82.3,-3.6,5.33,"Garcia, Maikel",672580,690997,ball,14,Ball,W,R,R,USA,VEN,B,1,2,1.22,-0.97,2.995004529,0.694958695,1,3,Top,Dan Bellino,USA,North America,1978,15,12.24094901,-119.0216053,-1.477553573,8.092310698,30.96497928,-41.01976718,3.262,1.646,80.4,3284,6.2,788094,54.33,17,4,0,0,0,0,0,0,0,0,43,-0.056,0.058,-0.058,0,0,0.468,0.532,24,26,25,26,4.48,-1.22,-1.22
ball-ball,FF,3/17/2026,91.6,1.11,5.74,"Buxton, Byron",621439,593958,ball,11,Ball,W,R,L,USA,VEN,B,1,1,0.65,1.41,-1.14344239,3.353345358,1,3,Bot,Dan Bellino,USA,North America,1978,15,-6.988410756,-133.0878542,-2.998578082,9.265858553,31.32723101,-14.99478034,3.258,1.644,90.7,2349,6.1,788094,54.44,21,3,0,1,0,1,1,0,0,1,146,0.007,0.062,-0.062,-1,-1,0.438,0.438,33,32,33,33,1.33,0.65,-0.65
